"Notes:"
"2024/02/23
Standard Data ver 1
Vacuum pressure 3.29e-2 torr
Simulate leak testing on index set 75
"72","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:47","2024/2/23","L  ",""
"73","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:48","2024/2/23","L  ",""
"74","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:49","2024/2/23","L  ",""
"75","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:50","2024/2/23","L  ",""
"76","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:51","2024/2/23","L  ",""
"77","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:52","2024/2/23","L  ",""
"78","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:53","2024/2/23","L  ",""
"79","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:54","2024/2/23","L  ",""
"80","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:55","2024/2/23","L  ",""
"81","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:56","2024/2/23","L  ",""
"82","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:57","2024/2/23","L  ",""
"83","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:58","2024/2/23","L  ",""
"84","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:41:59","2024/2/23","L  ",""
"85","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:00","2024/2/23","L  ",""
"86","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:01","2024/2/23","L  ",""
"87","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:02","2024/2/23","L  ",""
"88","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:03","2024/2/23","L  ",""
"89","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:04","2024/2/23","L  ",""
"90","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:05","2024/2/23","L  ",""
"91","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:06","2024/2/23","L  ",""
"92","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:07","2024/2/23","L  ",""
"93","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:08","2024/2/23","L  ",""
"94","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:09","2024/2/23","L  ",""
"95","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:10","2024/2/23","L  ",""
"96","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:11","2024/2/23","L  ",""
"97","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:12","2024/2/23","L  ",""
"98","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:13","2024/2/23","L  ",""
"99","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:14","2024/2/23","L  ",""
"100","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:15","2024/2/23","L  ",""
"101","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:16","2024/2/23","L  ",""
"102","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:17","2024/2/23","L  ",""
"103","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:18","2024/2/23","L  ",""
"104","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:19","2024/2/23","L  ",""
"105","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:20","2024/2/23","L  ",""
"106","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:21","2024/2/23","L  ",""
"107","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:22","2024/2/23","L  ",""
"108","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:23","2024/2/23","L  ",""
"109","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:24","2024/2/23","L  ",""
"110","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:25","2024/2/23","L  ",""
"111","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:26","2024/2/23","L  ",""
"112","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:27","2024/2/23","L  ",""
"113","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:28","2024/2/23","L  ",""
"114","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:29","2024/2/23","L  ",""
"115","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:30","2024/2/23","L  ",""
"116","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:31","2024/2/23","L  ",""
"117","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:32","2024/2/23","L  ",""
"118","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:33","2024/2/23","L  ",""
"119","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:34","2024/2/23","L  ",""
"120","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:35","2024/2/23","L  ",""
"121","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:36","2024/2/23","L  ",""
"122","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:37","2024/2/23","L  ",""
"123","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:38","2024/2/23","L  ",""
"124","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:39","2024/2/23","L  ",""
"125","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:40","2024/2/23","L  ",""
"126","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:41","2024/2/23","L  ",""
"127","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:42","2024/2/23","L  ",""
"128","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:43","2024/2/23","L  ",""
"129","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:44","2024/2/23","L  ",""
"130","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:45","2024/2/23","L  ",""
"131","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:46","2024/2/23","L  ",""
"132","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:47","2024/2/23","L  ",""
"133","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:48","2024/2/23","L  ",""
"134","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:49","2024/2/23","L  ",""
"135","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:50","2024/2/23","L  ",""
"136","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:51","2024/2/23","L  ",""
"137","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:52","2024/2/23","L  ",""
"138","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:53","2024/2/23","L  ",""
"139","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:54","2024/2/23","L  ",""
"140","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:55","2024/2/23","L  ",""
"141","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:56","2024/2/23","L  ",""
"142","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:57","2024/2/23","L  ",""
"143","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:58","2024/2/23","L  ",""
"144","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:42:59","2024/2/23","L  ",""
"145","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:00","2024/2/23","L  ",""
"146","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:01","2024/2/23","L  ",""
"147","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:02","2024/2/23","L  ",""
"148","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:03","2024/2/23","L  ",""
"149","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:04","2024/2/23","L  ",""
"150","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:05","2024/2/23","L  ",""
"151","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:06","2024/2/23","L  ",""
"152","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:07","2024/2/23","L  ",""
"153","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:08","2024/2/23","L  ",""
"154","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:09","2024/2/23","L  ",""
"155","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:10","2024/2/23","L  ",""
"156","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:11","2024/2/23","L  ",""
"157","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:12","2024/2/23","L  ",""
"158","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:13","2024/2/23","L  ",""
"159","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:14","2024/2/23","L  ",""
"160","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:15","2024/2/23","L  ",""
"161","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:16","2024/2/23","L  ",""
"162","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:17","2024/2/23","L  ",""
"163","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:18","2024/2/23","L  ",""
"164","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:19","2024/2/23","L  ",""
"165","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:20","2024/2/23","L  ",""
"166","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:21","2024/2/23","L  ",""
"167","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:22","2024/2/23","L  ",""
"168","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:23","2024/2/23","L  ",""
"169","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:24","2024/2/23","L  ",""
"170","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:25","2024/2/23","L  ",""
"171","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:26","2024/2/23","L  ",""
"172","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:27","2024/2/23","L  ",""
"173","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:28","2024/2/23","L  ",""
"174","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:29","2024/2/23","L  ",""
"175","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:30","2024/2/23","L  ",""
"176","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:31","2024/2/23","L  ",""
"177","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:32","2024/2/23","L  ",""
"178","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:33","2024/2/23","L  ",""
"179","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:34","2024/2/23","L  ",""
"180","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:35","2024/2/23","L  ",""
"181","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:36","2024/2/23","L  ",""
"182","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:37","2024/2/23","L  ",""
"183","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:38","2024/2/23","L  ",""
"184","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:39","2024/2/23","L  ",""
"185","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:40","2024/2/23","L  ",""
"186","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:41","2024/2/23","L  ",""
"187","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:42","2024/2/23","L  ",""
"188","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:43","2024/2/23","L  ",""
"189","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:44","2024/2/23","L  ",""
"190","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:45","2024/2/23","L  ",""
"191","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:46","2024/2/23","L  ",""
"192","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:47","2024/2/23","L  ",""
"193","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:48","2024/2/23","L  ",""
"194","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:49","2024/2/23","L  ",""
"195","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:50","2024/2/23","L  ",""
"196","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:51","2024/2/23","L  ",""
"197","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:52","2024/2/23","L  ",""
"198","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:53","2024/2/23","L  ",""
"199","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:54","2024/2/23","L  ",""
"200","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:55","2024/2/23","L  ",""
"201","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:56","2024/2/23","L  ",""
"202","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:57","2024/2/23","L  ",""
"203","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:58","2024/2/23","L  ",""
"204","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:43:59","2024/2/23","L  ",""
"205","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:00","2024/2/23","L  ",""
"206","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:01","2024/2/23","L  ",""
"207","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:02","2024/2/23","L  ",""
"208","225.4","2.459E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:03","2024/2/23","L  ",""
"209","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:04","2024/2/23","L  ",""
"210","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:05","2024/2/23","L  ",""
"211","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:06","2024/2/23","L  ",""
"212","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:07","2024/2/23","L  ",""
"213","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:08","2024/2/23","L  ",""
"214","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:09","2024/2/23","L  ",""
"215","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:10","2024/2/23","L  ",""
"216","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:11","2024/2/23","L  ",""
"217","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:12","2024/2/23","L  ",""
"218","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:13","2024/2/23","L  ",""
"219","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:14","2024/2/23","L  ",""
"220","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:15","2024/2/23","L  ",""
"221","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:16","2024/2/23","L  ",""
"222","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:17","2024/2/23","L  ",""
"223","225.6","2.434E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:18","2024/2/23","L  ",""
"224","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:19","2024/2/23","L  ",""
"225","225.5","2.447E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:20","2024/2/23","L  ",""
"226","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:21","2024/2/23","L  ",""
"227","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:22","2024/2/23","L  ",""
"228","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:23","2024/2/23","L  ",""
"229","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:24","2024/2/23","L  ",""
"230","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:25","2024/2/23","L  ",""
"231","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:26","2024/2/23","L  ",""
"232","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:27","2024/2/23","L  ",""
"233","225.9","2.397E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:28","2024/2/23","L  ",""
"234","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:29","2024/2/23","L  ",""
"235","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:30","2024/2/23","L  ",""
"236","225.9","2.397E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:31","2024/2/23","L  ",""
"237","225.9","2.397E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:32","2024/2/23","L  ",""
"238","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:33","2024/2/23","L  ",""
"239","225.7","2.422E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:34","2024/2/23","L  ",""
"240","225.9","2.397E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:35","2024/2/23","L  ",""
"244","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:39","2024/2/23","L  ",""
"244","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:39","2024/2/23","L  ",""
"245","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:40","2024/2/23","L  ",""
"246","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:41","2024/2/23","L  ",""
"247","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:42","2024/2/23","L  ",""
"248","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:43","2024/2/23","L  ",""
"249","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:44","2024/2/23","L  ",""
"250","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:45","2024/2/23","L  ",""
"251","225.8","2.409E+0","0.000E+0","0.000E+0","0.00000E+0","15:44:46","2024/2/23","L  ",""
